"Station_ID","Latitude","Longitude","Station_Name"
3186,39.89307,-75.171677,"12th & Normandy"
3187,39.957249,-75.172318,"20th & Race"
3188,39.904709,-75.173401,"Broad & Pattison, BSL"
3190,39.948921,-75.169907,"17th & Locust"
3196,39.987171,-75.174767,"25th & Diamond"
3197,39.92083,-75.170326,"Broad & Ritner"
3200,39.97583,-75.168457,"Ridge & Master"
3201,39.955231,-75.166199,"16th & Arch"
3202,39.95134,-75.16758,"16th & Chestnut"
3203,39.940769,-75.172272,"18th & Christian"
3204,39.964371,-75.165817,"17th & Green"
3205,39.954048,-75.167831,"17th & JFK"
3206,39.95174,-75.170631,"18th & Chestnut"
3207,39.954411,-75.192001,"34th & Chestnut"
3208,39.950481,-75.193237,"34th & Spruce"
3209,39.949001,-75.212784,"45th & Baltimore"
3210,39.984921,-75.156677,"Broad & Diamond"
3211,39.971722,-75.170601,"Corinthian & Poplar"
3212,39.963829,-75.18177,"Schuylkill Banks Pergola"
3226,39.98101,-75.137207,"2nd & Norris"
3233,39.955009,-75.152077,"Race & Franklin"
3234,39.954849,-75.172981,"20th & Cuthbert"
3235,39.959999,-75.1651,"16th & Callowhill"
3236,39.96566,-75.17765,"24th & Pennsylvania"
3237,39.917171,-75.170959,"Broad & Oregon"
3238,39.946281,-75.151382,"6th & S Washington Square"
3240,39.962769,-75.211853,"44th & Haverford"
3241,39.952251,-75.226372,"52nd & Larchwood - Malcolm X Park"
3243,39.983501,-75.14743,"8th & Diamond"
3244,39.938648,-75.16674,"Broad & Carpenter"
3245,39.97887,-75.157768,"Broad & Cecil B Moore"
3246,39.947819,-75.223007,"50th & Baltimore"
3247,39.965382,-75.215141,"47th & Aspen - Lucien Blackwell"
3248,39.942131,-75.18335,"24th & Christian"
3249,39.95784,-75.190788,"34th & Arch"
3250,39.95673,-75.145752,"4th & Wood"
3251,39.933659,-75.193192,"29th & Tasker"
3252,39.93882,-75.193237,"30th & Oakford"
3253,39.93174,-75.189957,"27th & Morris - Vare Recreation Center"
3254,39.980911,-75.160652,"16th & Montgomery"
3255,39.950951,-75.164383,"Broad & Chestnut"
3256,39.95269,-75.177788,"23rd & Chestnut"
3257,39.9216,-75.150002,"2nd & Snyder"
3258,39.958279,-75.224243,"52nd & Chestnut"
3259,39.960159,-75.198837,"Saunders & Pearl"
3261,39.963039,-75.140991,"2nd & Brown"
3263,39.958599,-75.208099,"43rd & Powelton"
3264,39.945709,-75.155083,"8th & Spruce"
3265,39.959572,-75.196327,"Powelton & Lancaster"
3266,39.923698,-75.147011,"Water & Mifflin"
3267,39.917999,-75.179604,"19th & Oregon"
3271,39.947601,-75.229462,"53rd & Baltimore"
3272,39.96405,-75.220482,"50th & Haverford"
3273,40.007729,-75.191963,"Ridge & Ferry"
3275,39.975761,-75.121567,"York & Aramingo"
3276,39.965691,-75.156792,"12th & Fairmount"
3277,39.983059,-75.167381,"20th & Berks"
3278,39.993011,-75.168098,"22nd & Sedgley"
