year	result	name	location
2009	6 more weeks of spring[175]	Pierre C. Shadeaux	New Iberia, Louisiana
2009	6 more weeks of winter[176]	Punxsutawney Phil	Punxsutawney, Pennsylvania
2009	Early spring[177]	Queen Charlotte	Charlotte, North Carolina
2009	6 more weeks of winter[178]	Shubenacadie Sam	Shubenacadie, Nova Scotia
2009	Early spring[179]	Staten Island Chuck	Staten Island, New York City, New York
2009	6 more weeks of winter[178]	Wiarton Willie	Wiarton, Ontario
2009	6 more weeks of winter[180]	Woodstock Willie	Woodstock, Illinois
2008	Early spring[181]	Balzac Billy	Balzac, Alberta
2008	Early spring[182]	Buckeye Chuck	Marion, Ohio
2008	Early spring[183]	Dunkirk Dave	Dunkirk, New York
2008	Early spring[184]	General Beauregard Lee	Lilburn, Georgia
2008	Early spring[185]	Jimmy the Groundhog	Sun Prairie, Wisconsin
2008	Early spring[186]	Malverne Mel	Malverne, New York
2008	6 more weeks of spring[187]	Pierre C. Shadeaux	New Iberia, Louisiana
2008	6 more weeks of winter[11]	Punxsutawney Phil	Punxsutawney, Pennsylvania
2008	6 more weeks of winter[184]	Queen Charlotte	Charlotte, North Carolina
2008	6 more weeks of winter[188]	Sir Walter Wally	Raleigh, North Carolina
2008	6 more weeks of winter[176]	Smith Lake Jake	Graysville, Alabama
2008	Early spring[186]	Staten Island Chuck	Staten Island, New York City, New York
2008	Early spring[181]	Wiarton Willie	Wiarton, Ontario
